"value","Model","Parameter","Type","N"
0.184337411368113,"F-diffusion","alpha","Closed",150
0.166756952030739,"F-diffusion","alpha","Closed",1500
0.270737383321159,"F-diffusion","alpha","Closed",4500
0.34743277683123,"F-diffusion","alpha","Closed",15000
0.186052503802065,"F-diffusion","alpha","Closed",30000
0.184723566534109,"F-diffusion","alpha","Numeric",150
0.158360877409597,"F-diffusion","alpha","Numeric",1500
0.16249890480661,"F-diffusion","alpha","Numeric",4500
0.107132850197207,"F-diffusion","alpha","Numeric",15000
0.117706192724418,"F-diffusion","alpha","Numeric",30000
0.0306376137412797,"F-diffusion","mu","Closed",150
0.030996351514222,"F-diffusion","mu","Closed",1500
0.0509442815580809,"F-diffusion","mu","Closed",4500
0.0422116327486899,"F-diffusion","mu","Closed",15000
0.0366479601568356,"F-diffusion","mu","Closed",30000
0.0306492930651988,"F-diffusion","mu","Numeric",150
0.0308898962125321,"F-diffusion","mu","Numeric",1500
0.0410119174211388,"F-diffusion","mu","Numeric",4500
0.0380069452121116,"F-diffusion","mu","Numeric",15000
0.0350508862771456,"F-diffusion","mu","Numeric",30000
0.0360772415131761,"F-diffusion","sigma","Closed",150
0.0149599815561716,"F-diffusion","sigma","Closed",1500
0.00659670872339295,"F-diffusion","sigma","Closed",4500
0.00391007169649044,"F-diffusion","sigma","Closed",15000
0.00276242987394546,"F-diffusion","sigma","Closed",30000
0.0360425320052219,"F-diffusion","sigma","Numeric",150
0.0148731257108016,"F-diffusion","sigma","Numeric",1500
0.0065026800702131,"F-diffusion","sigma","Numeric",4500
0.00385281488559217,"F-diffusion","sigma","Numeric",15000
0.00275055276514983,"F-diffusion","sigma","Numeric",30000
0.207142089624028,"Linear","alpha","Closed",150
0.1964560784426,"Linear","alpha","Closed",1500
0.222091770207263,"Linear","alpha","Closed",4500
0.249002787882673,"Linear","alpha","Closed",15000
0.139583716616073,"Linear","alpha","Closed",30000
0.198074058523966,"Linear","alpha","Numeric",150
0.169937933275626,"Linear","alpha","Numeric",1500
0.163647471870847,"Linear","alpha","Numeric",4500
0.104080839186821,"Linear","alpha","Numeric",15000
0.118051153213822,"Linear","alpha","Numeric",30000
0.0209005233085586,"Linear","mu","Closed",150
0.0187274967820245,"Linear","mu","Closed",1500
0.0265497973298958,"Linear","mu","Closed",4500
0.021455815520757,"Linear","mu","Closed",15000
0.0203085370762686,"Linear","mu","Closed",30000
0.0164742172840674,"Linear","mu","Numeric",150
0.0177288902794542,"Linear","mu","Numeric",1500
0.0238828196893874,"Linear","mu","Numeric",4500
0.0206942635034419,"Linear","mu","Numeric",15000
0.0170085325483692,"Linear","mu","Numeric",30000
0.0384927637251111,"Linear","sigma","Closed",150
0.0180192935723014,"Linear","sigma","Closed",1500
0.00749901022317118,"Linear","sigma","Closed",4500
0.00390298919032213,"Linear","sigma","Closed",15000
0.00276031113033269,"Linear","sigma","Closed",30000
0.0383461655047663,"Linear","sigma","Numeric",150
0.0149973120404065,"Linear","sigma","Numeric",1500
0.00648504947210008,"Linear","sigma","Numeric",4500
0.00383069489005054,"Linear","sigma","Numeric",15000
0.00272994277997642,"Linear","sigma","Numeric",30000
