"Model","N","Parameter","nu","ARE"
"Additive",396,"nu","0.75",0.225407570626307
"Additive",396,"nu","0.9",0.111111111111111
"Additive",396,"nu","1",0.113874144543162
"Additive",396,"nu","1.11",0.0943028021519059
"Additive",396,"nu","1.33",121800.072353968
"Additive",660,"nu","0.75",0.187819432013411
"Additive",660,"nu","0.9",0.111111111111111
"Additive",660,"nu","1",0.0648423761564915
"Additive",660,"nu","1.11",0.0932329760492602
"Additive",660,"nu","1.33",0.107107071078353
"Additive",3300,"nu","0.75",0.14252003217546
"Additive",3300,"nu","0.9",0.111111111111111
"Additive",3300,"nu","1",0.00328328697138469
"Additive",3300,"nu","1.11",0.1
"Additive",3300,"nu","1.33",0.25
"Additive",6600,"nu","0.75",0.169901125612227
"Additive",6600,"nu","0.9",0.111111111111111
"Additive",6600,"nu","1",0.0161909859344539
"Additive",6600,"nu","1.11",0.1
"Additive",6600,"nu","1.33",0.141805588980836
"Additive",13200,"nu","0.75",0.261680764496602
"Additive",13200,"nu","0.9",0.111111111111111
"Additive",13200,"nu","1",6.10622663543836e-16
"Additive",13200,"nu","1.11",0.0999999999999998
"Additive",13200,"nu","1.33",0.249999999999999
"t-diffusion",396,"nu","0.75",0.132760049684484
"t-diffusion",396,"nu","0.9",0.104546284134436
"t-diffusion",396,"nu","1",0.104186891998429
"t-diffusion",396,"nu","1.11",0.0833938745600146
"t-diffusion",396,"nu","1.33",0.082931326256385
"t-diffusion",660,"nu","0.75",0.109062366015987
"t-diffusion",660,"nu","0.9",0.0970239448955796
"t-diffusion",660,"nu","1",0.0810566891449854
"t-diffusion",660,"nu","1.11",0.0750108965475632
"t-diffusion",660,"nu","1.33",0.0636026076923062
"t-diffusion",3300,"nu","0.75",0.130421004377338
"t-diffusion",3300,"nu","0.9",0.11111111111111
"t-diffusion",3300,"nu","1",0.0748645965454003
"t-diffusion",3300,"nu","1.11",0.0943727292373424
"t-diffusion",3300,"nu","1.33",0.0708093241636725
"t-diffusion",6600,"nu","0.75",0.109303042821274
"t-diffusion",6600,"nu","0.9",0.110335783066688
"t-diffusion",6600,"nu","1",0.0663588512146652
"t-diffusion",6600,"nu","1.11",0.0999999999999997
"t-diffusion",6600,"nu","1.33",0.0867298900633856
"t-diffusion",13200,"nu","0.75",0.12573099984513
"t-diffusion",13200,"nu","0.9",0.111111111111111
"t-diffusion",13200,"nu","1",0.0427283004796328
"t-diffusion",13200,"nu","1.11",0.0999999999999998
"t-diffusion",13200,"nu","1.33",0.105701591503103
"Additive",396,"tau","0.75",0.0190782821353723
"Additive",396,"tau","0.9",0.0101033792444277
"Additive",396,"tau","1",0.0151491052526115
"Additive",396,"tau","1.11",0.0176722261754457
"Additive",396,"tau","1.33",0.0353523566594604
"Additive",660,"tau","0.75",0.012245831635763
"Additive",660,"tau","0.9",0.0179189571520017
"Additive",660,"tau","1",0.0181854448019922
"Additive",660,"tau","1.11",0.0157907346295723
"Additive",660,"tau","1.33",0.0272948993371844
"Additive",3300,"tau","0.75",0.0126334531544415
"Additive",3300,"tau","0.9",0.0339317960591836
"Additive",3300,"tau","1",0.0352170670637861
"Additive",3300,"tau","1.11",0.0293335285037755
"Additive",3300,"tau","1.33",0.0319207836139069
"Additive",6600,"tau","0.75",0.0143813590766744
"Additive",6600,"tau","0.9",0.0248907579250913
"Additive",6600,"tau","1",0.0336625474970787
"Additive",6600,"tau","1.11",0.03255990651196
"Additive",6600,"tau","1.33",0.0390709496336058
"Additive",13200,"tau","0.75",0.0237310396259884
"Additive",13200,"tau","0.9",0.0322526473025943
"Additive",13200,"tau","1",0.0278249542482729
"Additive",13200,"tau","1.11",0.0253847394760216
"Additive",13200,"tau","1.33",0.0372052481397986
"t-diffusion",396,"tau","0.75",0.00756991350369999
"t-diffusion",396,"tau","0.9",0.00505678559230097
"t-diffusion",396,"tau","1",0.00938128559643755
"t-diffusion",396,"tau","1.11",0.00537936851847468
"t-diffusion",396,"tau","1.33",0.0100947017779574
"t-diffusion",660,"tau","0.75",0.00204766102321327
"t-diffusion",660,"tau","0.9",0.00302366830159999
"t-diffusion",660,"tau","1",0.00400206578112864
"t-diffusion",660,"tau","1.11",0.00302895828888823
"t-diffusion",660,"tau","1.33",0.0060548906860377
"t-diffusion",3300,"tau","0.75",0.00567985230142352
"t-diffusion",3300,"tau","0.9",0.0148649101756846
"t-diffusion",3300,"tau","1",0.0182067256933775
"t-diffusion",3300,"tau","1.11",0.0181171258036609
"t-diffusion",3300,"tau","1.33",0.0227048494690656
"t-diffusion",6600,"tau","0.75",0.00556476272342344
"t-diffusion",6600,"tau","0.9",0.00947399737750035
"t-diffusion",6600,"tau","1",0.0198939395672171
"t-diffusion",6600,"tau","1.11",0.022992887529356
"t-diffusion",6600,"tau","1.33",0.0354675436887154
"t-diffusion",13200,"tau","0.75",0.00520567256350686
"t-diffusion",13200,"tau","0.9",0.0148013645071172
"t-diffusion",13200,"tau","1",0.0236036247964605
"t-diffusion",13200,"tau","1.11",0.0231296693106385
"t-diffusion",13200,"tau","1.33",0.0342582568316751
"Additive",396,"A","0.75",0.275617242533806
"Additive",396,"A","0.9",0.253640271124057
"Additive",396,"A","1",0.300269888897505
"Additive",396,"A","1.11",0.371061081317035
"Additive",396,"A","1.33",2.55285837901098
"Additive",660,"A","0.75",0.141437259536805
"Additive",660,"A","0.9",0.110988233407436
"Additive",660,"A","1",0.141992839302491
"Additive",660,"A","1.11",0.123157149964098
"Additive",660,"A","1.33",0.291682296389861
"Additive",3300,"A","0.75",0.096035318717766
"Additive",3300,"A","0.9",0.0814898550510404
"Additive",3300,"A","1",0.0788948857225477
"Additive",3300,"A","1.11",0.0816304450388994
"Additive",3300,"A","1.33",0.116304946710028
"Additive",6600,"A","0.75",0.0743509226944295
"Additive",6600,"A","0.9",0.0770487893605603
"Additive",6600,"A","1",0.0715851620185417
"Additive",6600,"A","1.11",0.0667991460450713
"Additive",6600,"A","1.33",0.0607331459876146
"Additive",13200,"A","0.75",0.0795818567043179
"Additive",13200,"A","0.9",0.0839426478138193
"Additive",13200,"A","1",0.0772825942607596
"Additive",13200,"A","1.11",0.0713800782488333
"Additive",13200,"A","1.33",0.0655269536822741
"t-diffusion",396,"A","0.75",0.287135238322409
"t-diffusion",396,"A","0.9",0.261921262519088
"t-diffusion",396,"A","1",0.282841983275458
"t-diffusion",396,"A","1.11",0.290138410918837
"t-diffusion",396,"A","1.33",0.305914122046128
"t-diffusion",660,"A","0.75",0.151465437571973
"t-diffusion",660,"A","0.9",0.167852244744469
"t-diffusion",660,"A","1",0.160514269458007
"t-diffusion",660,"A","1.11",0.131717162773831
"t-diffusion",660,"A","1.33",0.160852300868093
"t-diffusion",3300,"A","0.75",0.145722513848381
"t-diffusion",3300,"A","0.9",0.130272201474443
"t-diffusion",3300,"A","1",0.115615216857438
"t-diffusion",3300,"A","1.11",0.111264561976879
"t-diffusion",3300,"A","1.33",0.0897812057297269
"t-diffusion",6600,"A","0.75",0.120601492772414
"t-diffusion",6600,"A","0.9",0.0962784030692435
"t-diffusion",6600,"A","1",0.091016178750652
"t-diffusion",6600,"A","1.11",0.086356795765459
"t-diffusion",6600,"A","1.33",0.0877063888202861
"t-diffusion",13200,"A","0.75",0.129592948797273
"t-diffusion",13200,"A","0.9",0.118551334136365
"t-diffusion",13200,"A","1",0.0911708830157298
"t-diffusion",13200,"A","1.11",0.075235055731841
"t-diffusion",13200,"A","1.33",0.0850426643854004
